*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_129 | 1097        | 6155        | 0.008043  | 110790       | 96516        | 87.9817684594348    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_13  | 1762        | 10087       | 0.013103  | 181566       | 157236       | 89.2372304199773    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_130 | 1387        | 8056        | 0.009785  | 145008       | 117420       | 84.6575342465753    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_131 | 1392        | 8081        | 0.009825  | 145458       | 117900       | 84.698275862069     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_132 | 1387        | 8048        | 0.009781  | 144864       | 117372       | 84.6229271809661    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_133 | 1383        | 8030        | 0.00976   | 144540       | 117120       | 84.6854663774403    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_134 | 1394        | 8088        | 0.009832  | 145584       | 117984       | 84.6370157819225    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_135 | 1378        | 7995        | 0.00972   | 143910       | 116640       | 84.644412191582     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_136 | 1388        | 8047        | 0.009787  | 144846       | 117444       | 84.6138328530259    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_137 | 1361        | 7894        | 0.009593  | 142092       | 115116       | 84.5819250551065    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_138 | 1405        | 8105        | 0.009854  | 145890       | 118248       | 84.1622775800712    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_139 | 1378        | 8013        | 0.009732  | 144234       | 116784       | 84.7489114658926    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_14  | 1725        | 9922        | 0.012907  | 178596       | 154884       | 89.7878260869565    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_140 | 842         | 4646        | 0.00611   | 83628        | 73320        | 87.0783847980998    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_141 | 842         | 4651        | 0.006105  | 83718        | 73260        | 87.0071258907363    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_142 | 847         | 4675        | 0.006141  | 84150        | 73692        | 87.0035419126328    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_143 | 843         | 4658        | 0.006114  | 83844        | 73368        | 87.0320284697509    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_144 | 817         | 4494        | 0.005912  | 80892        | 70944        | 86.8347613219094    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_145 | 846         | 4662        | 0.006126  | 83916        | 73512        | 86.8936170212766    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_146 | 851         | 4712        | 0.006172  | 84816        | 74064        | 87.0317273795535    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_147 | 853         | 4719        | 0.006193  | 84942        | 74316        | 87.1230949589684    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_148 | 838         | 4638        | 0.006079  | 83484        | 72948        | 87.0501193317422    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_149 | 843         | 4653        | 0.0061    | 83754        | 73200        | 86.8327402135231    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_15  | 1731        | 9953        | 0.012945  | 179154       | 155340       | 89.7400346620451    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_150 | 1730        | 9900        | 0.012883  | 178200       | 154596       | 89.3618497109827    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_151 | 1708        | 9780        | 0.012745  | 176040       | 152940       | 89.5433255269321    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_152 | 1752        | 9978        | 0.012989  | 179604       | 155868       | 88.9657534246575    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_153 | 1718        | 9858        | 0.012838  | 177444       | 154056       | 89.6717112922002    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_154 | 1684        | 9672        | 0.012602  | 174096       | 151224       | 89.8004750593824    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_155 | 1722        | 9873        | 0.012853  | 177714       | 154236       | 89.5679442508711    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_156 | 1719        | 9865        | 0.012846  | 177570       | 154152       | 89.6753926701571    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_157 | 1700        | 9754        | 0.012716  | 175572       | 152592       | 89.76               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_158 | 1681        | 9629        | 0.012559  | 173322       | 150708       | 89.6537775133849    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_159 | 1703        | 9780        | 0.012733  | 176040       | 152796       | 89.7216676453318    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_16  | 1707        | 9781        | 0.012762  | 176058       | 153144       | 89.7152899824253    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_160 | 627         | 3411        | 0.004492  | 61398        | 53904        | 85.9712918660287    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_161 | 619         | 3352        | 0.004423  | 60336        | 53076        | 85.7447495961228    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_162 | 623         | 3389        | 0.004466  | 61002        | 53592        | 86.0224719101124    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_163 | 618         | 3362        | 0.004442  | 60516        | 53304        | 86.252427184466     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_164 | 618         | 3356        | 0.004436  | 60408        | 53232        | 86.1359223300971    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_165 | 622         | 3381        | 0.004462  | 60858        | 53544        | 86.0836012861736    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_166 | 612         | 3318        | 0.004386  | 59724        | 52632        | 86                  |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_167 | 627         | 3410        | 0.0045    | 61380        | 54000        | 86.1244019138756    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_168 | 623         | 3390        | 0.004477  | 61020        | 53724        | 86.2343499197432    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_169 | 626         | 3406        | 0.004491  | 61308        | 53892        | 86.0894568690096    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_17  | 1716        | 9857        | 0.012856  | 177426       | 154272       | 89.9020979020979    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_170 | 440         | 2352        | 0.002946  | 42336        | 35352        | 80.3454545454545    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_171 | 451         | 2412        | 0.003016  | 43416        | 36192        | 80.2483370288248    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_172 | 433         | 2310        | 0.002895  | 41580        | 34740        | 80.2309468822171    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_173 | 444         | 2382        | 0.002983  | 42876        | 35796        | 80.6216216216216    |* 
