;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_SI
105;leon3;selectionsort;int8_t;2.0;125.0;1
106;leon3;selectionsort;int16_t;2.0;248.0;1
107;leon3;selectionsort;int32_t;2.0;123.0;1
108;leon3;selectionsort;float;2.0;60.0;1
109;8051;floydwarshall;uint8_t;2.0;9.0;1
110;8051;floydwarshall;uint16_t;2.0;5.0;1
111;8051;floydwarshall;uint32_t;2.0;3.0;1
112;8051;floydwarshall;float;2.0;1.0;1
113;atmega328p;floydwarshall;uint8_t;2.0;43.0;1
114;atmega328p;floydwarshall;uint16_t;2.0;29.0;1
115;atmega328p;floydwarshall;uint32_t;2.0;20.0;1
116;atmega328p;floydwarshall;float;2.0;13.0;1
117;leon3;floydwarshall;uint8_t;2.0;20.0;1
118;leon3;floydwarshall;uint16_t;2.0;13.0;1
119;leon3;floydwarshall;uint32_t;2.0;9.0;1
120;leon3;floydwarshall;float;2.0;5.0;1
