*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_13  | 860         | 10469       | 0.013507  | 188442       | 162084       | 188.46976744186     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_130 | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_131 | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_132 | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_133 | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_134 | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_135 | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_136 | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_137 | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_138 | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_139 | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_14  | 842         | 10469       | 0.013507  | 188442       | 162084       | 192.498812351544    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_140 | 1301        | 15857       | 0.02036   | 285426       | 244320       | 187.794004611837    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_141 | 1308        | 15428       | 0.019788  | 277704       | 237456       | 181.54128440367     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_142 | 1302        | 15362       | 0.0197    | 276516       | 236400       | 181.566820276498    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_143 | 1309        | 15659       | 0.020096  | 281862       | 241152       | 184.226126814362    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_144 | 1310        | 15857       | 0.02036   | 285426       | 244320       | 186.503816793893    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_145 | 1304        | 15494       | 0.019876  | 278892       | 238512       | 182.907975460123    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_146 | 1301        | 15131       | 0.019392  | 272358       | 232704       | 178.865488086088    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_147 | 1316        | 15395       | 0.019744  | 277110       | 236928       | 180.036474164134    |* 
